title;link;rub_price;year;mileage;engine_capacity;hp;fuel_type;gearbox;carbody;city;ad_living_time;transmission;color
15.0;https://auto.ru/cars/used/sale/kia/soul/1104805128-9ce391a2/;1230000.0;2016.0;106000.0;1.6;132.0;0.0;3.0;1.0;5.0;NODATA;1.0;11.0
15.0;https://auto.ru/cars/used/sale/kia/sorento/1104825754-05d34321/;2170000.0;2017.0;48000.0;2.0;150.0;1.0;3.0;3.0;123.0;NODATA;1.0;2.0
27.0;https://auto.ru/cars/used/sale/mercedes/c_klasse/1104024018-97996105/;2180000.0;2017.0;103000.0;1.6;136.0;1.0;3.0;15.0;104.0;NODATA;2.0;11.0
15.0;https://auto.ru/cars/used/sale/kia/sorento/1104729195-9a12ed28/;2580000.0;2019.0;53000.0;3.5;249.0;0.0;1.0;3.0;104.0;22 минуты назад;0.0;2.0
48.0;https://auto.ru/cars/used/sale/vaz/2170/1105096420-55674af5/;240000.0;2011.0;160000.0;1.6;98.0;0.0;3.0;15.0;61.0;3 минуты назад;1.0;11.0
16.0;https://auto.ru/cars/used/sale/rolls_royce/cullinan/1105081739-366b855e/;;2019.0;22000.0;6.8;600.0;0.0;1.0;3.0;135.0;NODATA;0.0;1.0
7.0;https://auto.ru/cars/used/sale/porsche/taycan/1104075855-da0edc3a/;10480000.0;2020.0;8000.0;0.0;761.0;4.0;4.0;15.0;77.0;4 часа назад;0.0;9.0
15.0;https://auto.ru/cars/used/sale/kia/sorento/1104630152-16a46d92/;1100000.0;2013.0;130000.0;2.4;175.0;0.0;3.0;3.0;104.0;22 минуты назад;1.0;8.0
50.0;https://auto.ru/cars/used/sale/chevrolet/cruze/1104714215-94ecc4f1/;690000.0;2013.0;138000.0;1.6;109.0;0.0;3.0;15.0;104.0;22 минуты назад;1.0;2.0
49.0;https://auto.ru/cars/used/sale/volkswagen/touran/1104918432-f35be207/;360000.0;2003.0;387000.0;1.9;101.0;1.0;3.0;4.0;104.0;22 минуты назад;1.0;2.0
48.0;https://auto.ru/cars/used/sale/vaz/kalina/1104714203-4e078f8b/;200000.0;2012.0;221000.0;1.6;98.0;0.0;3.0;16.0;104.0;22 минуты назад;1.0;0.0
61.0;https://auto.ru/cars/used/sale/ford/focus/1104986133-cda64c6a/;300000.0;2005.0;231000.0;2.0;136.0;1.0;3.0;1.0;104.0;21 минута назад;1.0;13.0
36.0;https://auto.ru/cars/used/sale/bmw/x6_m/1104784423-4afa88b8/;10920000.0;2020.0;25000.0;4.4;600.0;0.0;1.0;3.0;104.0;32 минуты назад;0.0;1.0
48.0;https://auto.ru/cars/used/sale/vaz/xray/1105028630-6f93d06c/;680000.0;2017.0;94000.0;1.6;106.0;0.0;3.0;1.0;26.0;1 час назад;1.0;5.0
13.0;https://auto.ru/cars/used/sale/mazda/3/1103691283-dfa01f14/;340000.0;2005.0;183000.0;1.6;105.0;0.0;1.0;1.0;5.0;1 час назад;1.0;3.0
15.0;https://auto.ru/cars/used/sale/kia/sorento/1104885965-f7df0762/;2660000.0;2020.0;33000.0;2.4;188.0;0.0;1.0;3.0;104.0;22 минуты назад;0.0;5.0
27.0;https://auto.ru/cars/used/sale/mercedes/s_klasse/1104749814-96a83f89/;1070000.0;2008.0;142000.0;4.0;320.0;1.0;1.0;15.0;104.0;37 минут назад;2.0;1.0
27.0;https://auto.ru/cars/used/sale/mercedes/gls_klasse/1104829321-22e30488/;5080000.0;2018.0;68000.0;3.0;367.0;0.0;1.0;3.0;104.0;22 минуты назад;0.0;1.0
9.0;https://auto.ru/cars/used/sale/mitsubishi/outlander/1104690604-a4d3caf0/;1110000.0;2012.0;89000.0;2.3;177.0;1.0;3.0;3.0;104.0;22 минуты назад;1.0;9.0
55.0;https://auto.ru/cars/used/sale/hyundai/creta/1105022045-7863d88e/;1140000.0;2018.0;91000.0;2.0;149.0;0.0;1.0;3.0;104.0;21 минута назад;0.0;11.0
61.0;https://auto.ru/cars/used/sale/ford/focus/1104872968-00251e76/;490000.0;2010.0;146000.0;1.6;90.0;1.0;3.0;16.0;104.0;22 минуты назад;1.0;2.0
26.0;https://auto.ru/cars/used/sale/toyota/camry/1104700508-f811b713/;2140000.0;2018.0;26000.0;2.5;205.0;0.0;1.0;15.0;104.0;22 минуты назад;0.0;1.0
48.0;https://auto.ru/cars/used/sale/vaz/2121/1104714224-6f49fa91/;660000.0;2019.0;41000.0;1.7;80.0;0.0;3.0;10.0;104.0;22 минуты назад;0.0;6.0
20.0;https://auto.ru/cars/used/sale/opel/corsa/1104712074-9bae4d35/;400000.0;2011.0;209000.0;1.4;87.0;0.0;3.0;11.0;104.0;22 минуты назад;1.0;7.0
36.0;https://auto.ru/cars/used/sale/bmw/x5/1104148596-d6458b98/;6330000.0;2018.0;43000.0;3.0;286.0;1.0;1.0;3.0;104.0;31 минута назад;0.0;8.0
62.0;https://auto.ru/cars/used/sale/lamborghini/aventador/1104712392-a88903d2/;52360000.0;2019.0;1000.0;6.5;770.0;0.0;2.0;5.0;104.0;29 минут назад;0.0;1.0
